key,beta,se,heter,obs,,,,,,,,
Rural,0.25374,0.00158,urban,"820,846",,,,,,,,
Urban,0.21108,0.02139,urban,"856,882",,,,,,,,
Low_SFH,0.08362,0.05567,sfd,107995,,,,,,,,
High_SFH,0.28924,0.00383,sfd,"657,986",,,,,,,,
Low-income,0.1572,0.00176,income,"172,676",,,,,,,,
High-income,0.22338,0.00896,income,"262,668",,,,,,,,
Low-White,0.29974,0.00102,race,"66,178",,,,,,,,
High-White,0.2774,0.01089,race,"381,598",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
