Year,SFH,MFH,Type
2010,936,215,Howard
2011,991,186,Howard
2012,938,748,Howard
2013,1235,1032,Howard
2014,931,515,Howard
2015,1113,480,Howard
2016,1039,1115,Howard
2017,817,402,Howard
2018,808,1238,Howard
2019,761,18,Howard
2020,651,411,Howard
2021,882,853,Howard
2022,459,112,Howard
2023,603,195,Howard
2024,592,289,Howard
2010,8489,3442,Maryland
2011,8362,5119,Maryland
2012,9232,5985,Maryland
2013,10667,7251,Maryland
2014,10541,5790,Maryland
2015,11108,5949,Maryland
2016,11059,5985,Maryland
2017,12384,3840,Maryland
2018,12975,5672,Maryland
2019,12053,6438,Maryland
2020,12993,4989,Maryland
2021,12520,5976,Maryland
2022,10117,12743,Maryland
2023,10490,7963,Maryland
2024,10885,5938,Maryland
