sdid_estimate,standard_error
0.2586221,0.0250993
0.2622246,0.0254564
0.2593128,0.0279417
0.2586221,0.0250993
0.2622246,0.0254564
0.2593128,0.0279417
0.2582852,0.0247187
0.255487,0.0257602
0.2627288,0.0243616
0.2556236,0.0254356
0.2568316,0.0255031
0.2574042,0.0245321
0.2649714,0.0244786
0.2594122,0.0253286
0.2576117,0.0274486
0.2560435,0.0249347
0.2602969,0.0269038
0.2580696,0.0280149
0.2550071,0.0254372
0.2546766,0.0256495
0.2610831,0.0247589
0.2613193,0.026541
0.256697,0.0248447
0.2591246,0.0255556
0.2651884,0.0270434
0.2574795,0.0245424
0.2608359,0.0258538
0.2605708,0.0255856
0.256736,0.024648
0.2603004,0.0256295
0.2585152,0.0261256
0.2550239,0.0231198
0.2648659,0.0243523
0.2600286,0.0249362
0.2595815,0.0239037
0.2566599,0.02667
0.2613478,0.0263333
0.2552761,0.0272863
0.2597749,0.0257
0.2613059,0.0266281
0.2570045,0.0259044
0.2566048,0.0248218
0.2556397,0.024157
0.2561733,0.025114
0.259442,0.0271
0.2578433,0.0258846
0.2589957,0.0242986
0.257154,0.0274338
0.2589307,0.0266876
0.2606707,0.0270855
0.2573062,0.026955
0.2590389,0.0246824
0.2589547,0.0240624
0.2599007,0.0267843
0.2562196,0.0267242
0.260858,0.027266
0.2574539,0.0255987
0.2617587,0.0251847
0.2603187,0.0261733
0.2565556,0.0256792
0.2591985,0.02696
0.2591934,0.0260371
0.2615008,0.0265109
0.2576281,0.0206936
0.258759,0.0270189
0.2590837,0.0267855
0.2561906,0.0258086
0.2566453,0.0253635
0.2595993,0.0281214
0.2668235,0.0256405
0.251555,0.0262459
0.2593764,0.0259494
0.2603374,0.0263218
0.2566992,0.0256845
0.2579978,0.0241746
0.2661457,0.0271547
0.2592021,0.0249621
0.2598171,0.0266293
0.2611453,0.0270792
0.2607131,0.0265168
0.2586121,0.0268398
0.2639265,0.0251819
0.2586214,0.0268789
0.2634068,0.0249579
0.2595482,0.0245181
0.2608207,0.0254098
0.2583474,0.025973
0.2610244,0.0234609
0.2609585,0.0257727
0.264068,0.0260275
0.2562345,0.0260896
0.2582862,0.0261932
0.261107,0.0241124
0.2572557,0.0266209
0.2565634,0.0259195
0.2558887,0.0251476
0.2599496,0.0235921
0.2586429,0.0251493
0.2565831,0.0254715
0.2558887,0.0251476
0.2563,0.0008465
0.2569653,0.0047781
0.2621661,0.0009674
0.2596133,0.0017631
0.2536894,0.0010181
0.2526383,0.0001482
0.257783,0.002027
0.2555229,0.0025784
0.256288,0.0002951
0.253781,0.0020962
0.2609394,0.0018922
0.2594934,0.000998
0.2527575,0.0005964
0.2623081,0.0012694
0.2632329,0.0003495
0.2566776,0.0012224
0.2615149,0.002034
0.2591819,0.002573
0.2562075,0.0020899
0.2603883,0.0005955
0.2606721,0.0031556
0.2573702,0.0003859
0.2556028,0.0012928
0.2592385,0.0020961
0.2541995,0.0013138
0.2565095,0.0010142
0.2576706,0.0017558
0.2578953,0.0000914
0.258353,0.0000612
0.2603722,0.0003104
0.2568607,0.0010367
0.2605982,0.0016085
0.2567395,0.000756
0.261586,0.00181
0.2604344,0.0008463
0.2624907,0.0003413
0.257439,0.0053126
0.2573867,0.0010067
0.2705998,0.0006966
0.2585244,0.0025711
0.2576317,0.0006471
0.2589436,0.0003508
0.2580184,0.0006814
0.2558721,0.0004522
0.2555196,0.0021706
0.2591898,0.0013862
0.2564806,0.0003975
0.2551917,0.0020271
0.2643878,0.0021503
0.2518667,0.0003435
0.2549074,0.0012985
0.2532528,0.0009655
0.2598209,0.0014424
0.2554637,0.0025567
0.2589044,0.0019538
0.2603363,0.0008085
0.2619739,0.0004386
0.2515088,0.0009039
0.2571341,0.0013939
0.2586845,0.0011017
0.2597071,0.0001841
0.2530041,0.0013161
0.2562586,0.0013972
0.2601237,0.0007638
0.256167,0.0003424
0.2597384,0.0003109
0.2645749,0.0019692
0.2549736,0.0000777
0.2585888,0.0023327
0.256404,0.0012487
0.2585625,0.0004721
0.261756,0.0001998
0.2631734,0.0007195
0.2627092,0.0006468
0.2559473,0.0012405
0.2569563,0.0010434
0.2557867,0.0024992
0.2551997,0.0009657
0.257189,0.0011204
0.256018,0.0003641
0.2584623,0.0010194
0.2618295,0.0010711
0.2550251,0.0001131
0.257875,0.0010785
0.2575102,0.0020341
0.256199,0.0003559
0.2621578,0.0001398
0.2595534,0.0017855
0.2558149,0.0005819
0.2661543,0.0017346
0.2534833,0.0001149
0.2565721,0.0016003
0.2554642,0.0001925
0.2597045,0.0019622
0.2615535,0.0012161
0.2643387,0.0017235
0.2564086,0.0016693
0.2572,0.0015014
0.2577235,0.0003023
0.2598768,0.00088
0.2576064,0.0014045
0.258046,0.0019237
0.2618814,0.0002246
0.2575378,0.0010975
0.2546759,0.000064
0.25716,0.002092
0.260789,0.0000897
0.2554089,0.0008995
0.2574079,0.001969
0.2578765,0.0023355
0.2555576,0.0001711
0.2564316,0.0003617
0.2609648,0.0012009
0.2581364,0.0020202
0.2547773,0.0007678
0.2620843,0.0022079
0.2522254,0.0016417
0.2602094,0.001709
0.2593635,0.0002639
0.2623566,0.0004927
0.2586728,0.0024977
0.2650788,0.001878
0.2556619,0.0014788
0.255776,0.0011293
0.2594541,0.0006629
0.2576437,0.0000202
0.25497,0.0022781
0.2583193,0.0003793
0.2600874,0.0006788
0.2581453,0.0013228
0.2580548,0.0010195
0.2560222,0.0017886
0.2596457,0.0003874
0.2572306,0.0003131
0.254511,9.71E-06
0.258221,0.0003335
0.2553484,0.0002192
0.2608606,0.0010311
0.2568912,0.001516
0.259056,0.0011845
0.2590733,0.0020017
0.2547139,0.0020713
0.2616123,0.0000946
0.2618284,0.0007763
0.2576207,0.0002094
0.258501,0.0006748
0.2614904,0.0005888
0.2560676,0.000766
0.2605087,0.0001511
0.259182,0.0008521
0.2559546,0.0005892
0.2589894,0.0005643
0.2585667,0.0014667
0.2577369,0.0001643
0.2565625,0.001372
0.2590769,0.0005309
0.2553876,0.0013312
0.2573077,0.0001066
0.236062,0.0000941
0.2627438,0.0010522
0.2600451,0.0008801
0.26105,0.0005186
0.2601977,0.0007417
0.2567575,0.0009918
0.2566756,0.0002949
0.2586097,0.0003959
0.2563257,0.0019969
0.2535949,0.0007352
0.2576359,0.000265
0.2615582,0.0030109
0.2573584,0.0020076
0.2554696,0.0006937
0.2573213,0.0008326
0.2559262,0.0026406
0.257867,0.0014632
0.260028,0.0012106
0.2659856,0.0003931
0.2524477,0.0004972
0.2571121,0.0024447
0.2573083,0.0003215
0.2591405,0.0004694
0.257225,0.0039657
0.2614347,0.0007008
0.2630818,0.0007152
0.261645,0.0014406
0.2566764,0.0016029
0.2570972,0.0012406
0.2569975,0.00076
0.263382,0.0012542
0.2570071,0.0004349
0.2644089,0.0012972
0.2605286,0.0022746
0.2577917,0.0021293
0.2643152,0.0013002
0.2580055,0.0004886
0.2580994,0.0001424
0.2571835,0.0016202
0.2541396,0.0032439
0.2557705,0.0003373
0.2560618,9.54E-06
0.2536294,0.0010177
0.2564562,0.0009462
0.2583318,0.0005409
0.2581935,0.0015979
0.257839,0.0001941
0.2595699,0.0011417
0.2629581,0.0021663
0.2566731,0.0012174
0.2558486,0.0010017
0.2546326,0.0017262
0.2637795,0.0002502
0.2616192,0.0007809
0.2565227,0.0000768
0.2589991,0.0003223
0.2587587,0.002268
0.2554704,0.000962
0.2688755,0.0007773
0.2596626,0.0021773
0.2539691,0.0002353
0.2605588,0.0009205
0.2607319,0.0014108
0.2567868,0.000927
0.2587546,0.0011514
0.2567896,0.000903
0.2555062,0.0010905
0.2586591,0.0013886
0.2610168,0.0010681
0.2569106,0.0005916
0.2585412,0.0001826
0.2562169,0.0012501
0.2607413,0.0006172
0.2642505,0.0011514
0.2579987,0.0011759
0.2539981,0.0005195
0.2543383,0.0011197
0.257732,0.0006551
0.2545803,0.0008747
0.2584582,0.0016749
0.2566089,0.0013412
0.2573445,0.0018421
0.2569121,0.0016925
0.2598474,0.0003861
0.263187,0.0035469
0.2584568,0.0006054
0.2586431,0.0008195
0.2577365,0.0017437
0.2589936,0.0009707
0.2586675,0.0003565
0.2601712,0.0024766
0.2610706,0.0006702
0.2562691,0.0007283
0.2599086,0.0009967
0.2534009,0.0008232
0.2599709,0.0015449
0.2557336,0.0002509
0.2611306,0.0009128
0.2582463,0.0013137
0.2554293,0.000543
0.2573974,0.0000825
0.2574221,0.0006659
0.2618756,0.0009687
0.2560285,0.0000162
0.2585187,0.0007844
0.2597665,0.0006439
0.2596463,0.0004724
0.259813,0.0008566
0.2556262,0.0019164
0.2521931,0.0015505
0.2594131,0.0025175
0.2603183,0.0010315
0.2647425,0.0012344
0.2536997,0.001271
0.2581991,0.0012566
0.2579558,0.0008392
0.2589369,0.0009586
0.2600098,0.0007522
0.2592553,0.0003253
0.256948,0.001222
0.2529653,0.0002003
0.2563359,0.0008812
0.2598189,0.0008428
0.2661338,0.0009418
0.2545669,0.0006465
0.2568604,0.0009054
0.2569222,0.0013818
0.2568196,0.0017851
0.2626648,0.0008502
0.261177,0.0005343
0.2574992,0.0021155
0.2575413,0.0017586
0.2568578,0.0014819
0.2551257,0.0016514
0.2584431,0.0017057
0.2618258,0.0016024
0.2557068,0.00188
0.2559273,0.0004562
0.2537898,0.0001862
0.2597148,0.0028084
0.2595595,0.0015766
0.2563443,0.0015847
0.2557282,0.0005945
0.2589072,0.0019762
0.2536786,0.000408
0.2539323,0.0010351
0.2531478,0.0021763
0.2603451,0.0012769
0.2612401,0.0011144
0.2602456,0.000274
0.2573571,0.0035145
0.2576914,0.0001236
0.2574063,0.0014192
0.2560139,0.0008794
0.2615613,0.0021411
0.2573415,0.0004217
0.2578102,0.0004197
0.2545813,0.0015951
0.2629969,0.0020657
0.2595959,0.0004895
0.2556779,0.0001215
0.2582595,0.0006516
0.2568349,0.0002131
0.2618729,0.0002979
0.2597334,0.0007092
0.2586103,0.0016202
0.258108,0.0001554
0.2594921,0.0014589
0.2556134,0.002794
0.2538315,0.0001857
0.2552265,0.0006473
0.2599693,0.0017726
0.2576213,0.0012416
0.2630952,0.0008317
0.2572806,0.0002174
0.2582426,0.0010235
0.255796,0.0000836
0.2610092,0.0000769
0.2579336,0.0009939
0.2612642,0.0007442
0.2584906,0.0004263
0.2584743,0.0011504
0.2553434,0.0002249
0.2572305,0.0000234
0.26466,0.0009406
0.255143,0.0007948
0.2542913,0.0031525
0.2545667,0.0006221
0.2378699,0.011811
0.2572996,0.0011541
0.2547584,0.0006684
0.2580867,0.0015775
0.2574842,0.0000792
