filename,sdid_estimate,standard_error
,0.2639982,0.0026678
,0.2621176,0.0013833
,0.2610039,0.0005495
,0.2602709,0.0003908
,0.2616544,0.001372
,0.2573313,0.0003494
,0.2614485,0.0007957
,0.2622839,0.0027074
,0.2596945,0.0009976
,0.2680345,0.0008952
,0.2637535,0.0007826
,0.2495945,0.0002918
,0.2594018,0.0002923
,0.2595631,0.0007006
,0.2613859,0.0006134
,0.259435,0.0017948
,0.2586742,0.0008769
,0.2584292,0.0009
,0.2590864,0.0008617
,0.2649403,0.0005952
,0.2605426,0.0013413
,0.2562851,0.0024543
,0.2591689,0.0013776
,0.2592838,0.0002634
,0.2612257,0.0000235
,0.2605301,0.0012725
,0.2601827,0.0002999
,0.2575389,0.0003407
,0.2592177,0.0000162
,0.2610079,0.0017832
,0.265056,0.0001131
,0.2591545,0.0025312
,0.2631226,0.0001254
,0.2654099,0.0027918
,0.2665044,0.0014799
,0.2583799,0.0001158
,0.2634734,0.0017133
,0.2603615,0.0018838
,0.2614619,0.0015765
,0.2644251,0.0007556
,0.2615126,0.0004105
,0.2600255,0.0005215
,0.2614635,0.0007037
,0.2635926,0.0017475
,0.2556585,0.0007661
,0.2559554,0.0027897
,0.2630447,0.0003209
,0.2596498,0.001745
,0.2606179,0.0009813
,0.2595564,0.0007532
,0.2619617,0.0007853
,0.2535427,0.0004927
,0.2633618,0.0011116
,0.2634262,0.0011396
,0.258779,0.0021854
,0.2614001,0.0005179
,0.2550088,0.0017095
,0.2572639,0.0010745
,0.2626683,0.0010207
,0.2627588,0.0014309
,0.2577999,0.0013812
,0.2623512,0.0003959
,0.2510803,0.0006682
,0.2561181,0.0001275
,0.2605981,0.0004041
,0.2635973,0.0008135
,0.2648045,0.0010544
,0.2630562,0.0033183
,0.2591952,0.0007131
,0.2618247,0.0005977
,0.2632372,0.0016664
,0.2599244,0.0028561
,0.2604864,0.0004208
,0.2628896,0.0006919
,0.2588583,0.0003057
,0.2569032,0.0000496
,0.2558804,0.0001024
,0.2577146,0.0014716
,0.2560498,0.0020639
,0.2601732,0.0017658
,0.2591099,0.001006
,0.2607838,0.0008501
,0.262037,0.0012053
,0.2605695,0.000554
,0.2640412,0.0057135
,0.2648693,0.0008049
,0.2594309,0.003135
,0.2604178,0.0001178
,0.2578568,0.0008301
,0.2619161,0.0005776
,0.2591919,0.0007222
,0.2610259,0.0024396
,0.2627278,0.0015398
,0.2630837,0.0014886
,0.259852,0.0001564
,0.2527917,0.0006936
,0.2648031,0.0010931
,0.2583616,0.0023345
,0.2596746,0.0017001
,0.2620348,0.0007431
,0.2569996,0.000642
,0.2600444,0.0006895
,0.2659595,0.0002111
,0.2547276,0.0024444
,0.2576294,0.0007751
,0.2631752,0.0011114
,0.2678106,0.0005582
,0.2609697,0.002476
,0.2605201,0.0017122
,0.2549873,0.000239
,0.2592721,0.0002342
,0.2636155,0.0000655
,0.2595416,0.0007878
,0.2577546,0.0007213
,0.2651002,0.0027329
,0.2575102,0.0002769
,0.2680288,0.0015182
,0.2594005,0.0011327
,0.2564995,0.0000567
,0.257016,0.0014897
,0.2634158,0.0014727
,0.2558795,0.0007655
,0.2598038,0.0025882
,0.2566269,0.0001607
,0.261765,0.0024057
,0.2597927,0.001069
,0.2597599,0.0010156
,0.2579401,0.0008076
,0.2527177,0.0014714
,0.2587695,0.00026
,0.2607345,0.0004742
,0.2606507,0.0000443
,0.258557,0.0000986
,0.2587196,0.000891
,0.2660674,0.0010657
,0.2644682,0.000187
,0.2613871,0.0025481
,0.2622495,0.0012007
,0.2578292,0.0000358
,0.256964,0.0016168
,0.2543883,0.0013869
,0.2615879,0.0010209
,0.2652621,0.002567
,0.2557166,0.0026039
,0.2536192,0.0001052
,0.262852,0.0000169
,0.2588817,0.0003915
,0.2557631,0.0008161
,0.2543627,0.0012555
,0.2575423,0.0004547
,0.2648861,0.0008142
,0.2625471,0.0019786
,0.2604088,0.0005936
,0.2561301,0.0001142
,0.2631879,0.0027285
,0.2637591,0.0006118
,0.2586972,0.0015815
,0.262538,0.0014348
,0.2598829,0.0003519
,0.2560049,0.0000935
,0.258379,0.0003543
,0.2642819,0.0025177
,0.2638484,0.0019981
,0.2578844,0.0001796
,0.2560461,0.0009666
,0.2589236,0.0022566
,0.2562953,0.0014492
,0.2582444,6.65E-06
,0.260054,0.0001305
,0.2595838,0.0007824
,0.2597934,0.0007871
,0.2608096,0.0014672
,0.2592557,0.0007215
,0.2617165,0.000867
,0.2591951,0.0002773
,0.2590365,0.0014836
,0.2609206,0.0016796
,0.2639385,0.0017188
,0.2587924,0.001452
,0.2646827,0.000374
,0.2614889,0.0023428
,0.2598495,0.0001072
,0.2655558,0.0015862
,0.2599351,0.002958
,0.2613431,0.0028933
,0.2581473,0.0010138
,0.2577858,0.0007677
,0.2602851,0.0010533
,0.2633582,0.0015844
,0.2598014,0.0015428
,0.2628695,0.0000387
,0.2635917,0.0009189
,0.2593933,0.0001009
,0.2614246,0.0027058
,0.2607896,0.0010039
,0.2619188,0.0008251
,0.2568597,0.0005778
,0.2631756,0.0000987
,0.259927,0.0012571
,0.2641554,0.0010317
,0.2641554,0.0010317
,0.2594124,0.0010468
,0.2608112,0.0013325
,0.2599782,0.0007752
,0.2646601,0.0005895
,0.2634261,0.0017756
,0.2594864,0.0004391
,0.2603432,0.0008181
,0.2585737,0.0002269
,0.2599708,0.0001129
,0.2601151,0.0017331
,0.2604484,0.0015381
,0.2570986,0.0000701
,0.2571784,0.0022837
