key,beta,se,specification,date
Full sample,0.24825,0.02513,To 2023,Release date
Full sample with utility and charger,0.24442,0.01645,To 2023,Release date
Reduced sample with all controls,0.25805,0.01071,To 2023,Release date
Full sample,0.18917,0.01056,To 2022,Release date
Full sample with utility and charger,0.19089,0.00911,To 2022,Release date
Reduced sample with all controls,0.19632,0.01158,To 2022,Release date
Full sample,0.24614,0.02519,To 2023,Model date
Full sample with utility and charger,0.21444,0.0251,To 2023,Model date
Reduced sample with all controls,0.26041,0.01226,To 2023,Model date
Full sample,0.18438,0.01087,To 2022,Model date
Full sample with utility and charger,0.16489,0.01149,To 2022,Model date
Reduced sample with all controls,0.19093,0.01144,To 2022,Model date
